origin_iata,destination_iata,distance_km,est_duration_min,optional_price,source
BRE,IBZ,1674.905,157.554,,openflights
BRE,IST,1985.845,180.306,,openflights
BRE,LEJ,296.221,56.675,,openflights
BRE,TMP,1282.983,128.877,,openflights
BRI,AMS,1538.045,147.540,,openflights
BRI,BCN,1226.700,124.759,,openflights
BRI,STR,1027.173,110.159,,openflights
BRI,SVQ,1987.265,180.410,,openflights
BRL,ORD,299.763,56.934,,openflights
BRN,HAM,767.389,91.150,,openflights
BRN,VIE,693.817,85.767,,openflights
BRS,AMS,523.993,73.341,,openflights
BRS,FUE,2713.927,233.580,,openflights
BRS,GCI,216.733,50.859,,openflights
BRS,IBZ,1427.006,139.415,,openflights
BRS,LIS,1487.604,143.849,,openflights
BRS,MAD,1214.954,123.899,,openflights
BRS,MJV,1520.486,146.255,,openflights
BRS,MXP,1056.439,112.300,,openflights
BRS,TLS,914.711,101.930,,openflights
BRS,WMI,1600.263,152.092,,openflights
BRU,ABJ,5134.849,410.721,,openflights
BRU,ALG,1583.340,150.854,,openflights
BRU,BLL,620.656,80.414,,openflights
BRU,BLQ,871.078,98.737,,openflights
BRU,BOM,6866.058,537.395,,openflights
BRU,DME,2260.692,200.416,,openflights
BRU,FLR,936.177,103.501,,openflights
BRU,KGL,6362.006,500.513,,openflights
BRU,KGS,2379.992,209.146,,openflights
BRU,LIS,1717.469,160.668,,openflights
BRU,MLA,1853.622,170.631,,openflights
BRU,OPO,1473.397,142.810,,openflights
BRU,SXB,346.526,60.356,,openflights
BRU,TIV,1435.641,140.047,,openflights
BRU,VLC,1326.509,132.062,,openflights
BRU,VNO,1453.571,141.359,,openflights
BRU,ZAG,1029.022,110.294,,openflights
BSA,BBO,470.038,69.393,,openflights
BSA,GLK,533.272,74.020,,openflights
BSB,MAB,1175.141,120.986,,openflights
BSB,PTY,4437.342,359.684,,openflights
BSD,KMG,378.795,62.717,,openflights
BSL,BDS,1132.047,117.833,,openflights
BSL,BRU,429.363,66.417,,openflights
BSL,BUD,880.503,99.427,,openflights
BSL,EDI,1191.625,122.192,,openflights
BSL,NAP,918.924,102.238,,openflights
BSL,TLS,650.755,82.616,,openflights
BTH,BPN,1445.043,140.735,,openflights
BTH,CGK,853.588,97.458,,openflights
BTH,DPS,1644.080,155.299,,openflights
BTH,JOG,1213.055,123.760,,openflights
BTH,SUB,1348.331,133.658,,openflights
BTH,SZB,362.595,61.531,,openflights
BTK,DME,3834.242,315.554,,openflights
BTS,BGY,633.832,81.378,,openflights
BTT,FAI,286.873,55.991,,openflights
BUD,BCN,1522.188,146.380,,openflights
BUD,BGY,755.883,90.309,,openflights
BUD,CDG,1247.871,126.308,,openflights
BUD,DOH,3755.600,309.800,,openflights
BUD,IEV,880.908,99.457,,openflights
BUD,LCA,1836.505,169.378,,openflights
BUD,MUC,566.485,76.450,,openflights
BUD,OTP,615.184,80.013,,openflights
BUD,TLV,2165.077,193.420,,openflights
BUD,ZRH,804.884,93.894,,openflights
